DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 15-Jul-2016,25.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 15-Jul-2016,25.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 16-Jul-2016,25.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 17-Jul-2016,26.000000,2,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 17-Jul-2016,26.000000,3,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 18-Jul-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 18-Jul-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 19-Jul-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 20-Jul-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 21-Jul-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 21-Jul-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 21-Jul-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 21-Jul-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 22-Jul-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 22-Jul-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 23-Jul-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 23-Jul-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 23-Jul-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 26-Jul-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 26-Jul-2016,26.000000,3,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 26-Jul-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 26-Jul-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 27-Jul-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 27-Jul-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 27-Jul-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 27-Jul-2016,26.000000,2,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 29-Jul-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 30-Jul-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 31-Jul-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 01-Aug-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 01-Aug-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 02-Aug-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 03-Aug-2016,26.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 04-Aug-2016,27.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 05-Aug-2016,27.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 06-Aug-2016,27.000000,3,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 07-Aug-2016,27.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 08-Aug-2016,27.000000,2,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 09-Aug-2016,27.000000,3,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 09-Aug-2016,27.000000,2,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 10-Aug-2016,27.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 11-Aug-2016,27.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 14-Aug-2016,27.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 15-Aug-2016,27.000000,2,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 15-Aug-2016,27.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 15-Aug-2016,27.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 16-Aug-2016,27.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 16-Aug-2016,27.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 16-Aug-2016,27.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 18-Aug-2016,27.000000,2,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 20-Aug-2016,27.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 20-Aug-2016,27.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 21-Aug-2016,28.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 21-Aug-2016,28.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 21-Aug-2016,28.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 22-Aug-2016,28.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 22-Aug-2016,28.000000,2,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 22-Aug-2016,28.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 24-Aug-2016,28.000000,2,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 24-Aug-2016,28.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 25-Aug-2016,28.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 26-Aug-2016,28.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 26-Aug-2016,28.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 27-Aug-2016,28.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 28-Aug-2016,28.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 28-Aug-2016,28.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 29-Aug-2016,28.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 29-Aug-2016,28.000000,2,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 01-Sep-2016,28.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 01-Sep-2016,28.000000,2,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 02-Sep-2016,28.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 02-Sep-2016,28.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 02-Sep-2016,28.000000,3,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 03-Sep-2016,28.000000,2,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 04-Sep-2016,28.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 04-Sep-2016,28.000000,2,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 05-Sep-2016,28.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 05-Sep-2016,28.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 05-Sep-2016,28.000000,2,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 06-Sep-2016,28.000000,2,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 07-Sep-2016,28.000000,2,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 07-Sep-2016,29.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 08-Sep-2016,29.000000,2,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 08-Sep-2016,29.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 09-Sep-2016,29.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 10-Sep-2016,29.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 11-Sep-2016,29.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 13-Sep-2016,29.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 13-Sep-2016,29.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 13-Sep-2016,29.000000,2,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 13-Sep-2016,29.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 14-Sep-2016,29.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 14-Sep-2016,29.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 14-Sep-2016,29.000000,3,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,12:00:00 15-Sep-2016,29.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 15-Sep-2016,29.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 16-Sep-2016,29.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 18-Sep-2016,29.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 18-Sep-2016,29.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 20-Sep-2016,29.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 20-Sep-2016,29.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 21-Sep-2016,29.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 21-Sep-2016,29.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,00:00:00 22-Sep-2016,29.000000,2,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,06:00:00 22-Sep-2016,29.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149118,149118,,Transmission,Mk10,DiveDepth,18:00:00 22-Sep-2016,29.000000,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
